legislator,role,district,party,residence,gender,desk_number,profession,notes,session_name,session_year,regular
"Krieger, Wayne",NA,1,Republican,Curry and portions of Coos and Douglas,Male,40,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Matthews, Greg",NA,50,Democrat,Portion of Multnomah,Male,11,"Law, Public Safety, Corrections and Security",NA,2010 Special Session,2010,FALSE
"Maurer, Ron",NA,3,Republican,Portion of Josephine,Male,49,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Nathanson, Nancy",NA,13,Democrat,Portion of Lane,Female,29,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Nolan, Mary",Majority Leader,36,Democrat,Portion of Multnomah,Female,51,Business Management and Administration,NA,2010 Special Session,2010,FALSE
"Olson, Andy",NA,15,Republican,Portions of Benton and Linn,Male,57,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Read, Tobias",NA,27,Democrat,Portions of Multnomah and Washington,Male,45,"Marketing, Sales and Service",NA,2010 Special Session,2010,FALSE
"Richardson, Dennis",NA,4,Republican,Portions of Jackson and Josephine,Male,7,"Law, Public Safety, Corrections and Security",NA,2010 Special Session,2010,FALSE
"Riley, Chuck",NA,29,Democrat,Portion of Washington,Male,5,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Roblan, Arnie",NA,9,Democrat,"Portions of Coos, Douglas and Lane",Male,26,Retired,NA,2010 Special Session,2010,FALSE
"Schaufler, Mike",NA,48,Democrat,Portions of Clackamas and Multnomah,Male,36,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Smith, Greg",NA,57,Republican,Portions of Clackamas and Washington,Male,23,Business Management and Administration,NA,2010 Special Session,2010,FALSE
"Smith, Jefferson",NA,47,Democrat,Portion of Multnomah,Male,13,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Sprenger, Sherrie",NA,17,Republican,Portion of Linn and Marion,Female,24,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Stiegler, Judy",NA,54,Democrat,Portion of Deschutes,Female,12,"Law, Public Safety, Corrections and Security",NA,2010 Special Session,2010,FALSE
"Thatcher, Kim",NA,25,Republican,Portions of Marion and Yamhill,Female,15,Business Management and Administration,NA,2010 Special Session,2010,FALSE
"Thompson, Jim",NA,23,Republican,"Portions of Benton, Linn, Marion, Polk and Yamhill",Male,1,Health Science,NA,2010 Special Session,2010,FALSE
"Tomei, Carolyn",NA,41,Democrat,Portions of Clackamas and Multnomah,Female,58,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"VanOrman, Suzanne",NA,52,Democrat,Hood River and portions of Clackamas and Multnomah,Female,9,Retired,NA,2010 Special Session,2010,FALSE
"Weidner, Jim",NA,24,Republican,Portions of Polk and Yamhill,Male,17,Business Management and Administration,NA,2010 Special Session,2010,FALSE
"Whisnant, Gene",NA,53,Republican,Portion of Deschutes,Male,34,Retired,NA,2010 Special Session,2010,FALSE
"Wingard, Matt",NA,26,Republican,Portions of Clackamas and Washington,Male,16,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Witt, Bradley",NA,31,Democrat,"Portions of Clatsop, Columbia and Multnomah",Male,54,Government and Public Administration,NA,2010 Special Session,2010,FALSE
"Bailey, Jules L. Kopel",NA,42,Democrat,Portion of Multnomah,Male,2,Government and Public Administration,NA,2009 Session,2009,TRUE
"Barker, Jeff",NA,28,Democrat,Portion of Washington,Male,19,Retired,NA,2009 Session,2009,TRUE
"Barnhart, Phil",NA,11,Democrat,Portions of Lane and Linn,Male,27,Government and Public Administration,NA,2009 Session,2009,TRUE
"Barton, Brent",NA,51,Democrat,Portions of Clackamas and Multnomah,Male,35,"Law, Public Safety, Corrections and Security",NA,2009 Session,2009,TRUE
"Bentz, Cliff",NA,60,Republican,"Baker, Harney, Malheur and portion of Grant",Male,31,"Law, Public Safety, Corrections and Security",NA,2009 Session,2009,TRUE
"Berger, Vicki",NA,20,Republican,Portions of Marion and Polk,Female,14,Government and Public Administration,NA,2009 Session,2009,TRUE
"Beyer, Elizabeth Terry",NA,12,Democrat,Portion of Lane,Female,59,Government and Public Administration,NA,2009 Session,2009,TRUE
"Boone, Deborah",NA,32,Democrat,"Portions of Clatsop, Columbia, Tillamook and Washington",Female,38,Government and Public Administration,NA,2009 Session,2009,TRUE
"Bruun, Scott",NA,37,Republican,Portions of Clackamas and Washington,Male,33,"Architecture, Construction and Skilled Trade",NA,2009 Session,2009,TRUE
"Buckley, Peter",NA,5,Democrat,Portion of Jackson,Male,60,Government and Public Administration,NA,2009 Session,2009,TRUE
"Cameron, Kevin",NA,19,Republican,Portion of Marion,Male,42,Business Management and Administration,NA,2009 Session,2009,TRUE
"Cannon, Ben",NA,46,Democrat,Portion of Multnomah,Male,53,Education and Training,NA,2009 Session,2009,TRUE
"Clem, Brian L.",NA,21,Democrat,Portion of Marion,Male,46,Business Management and Administration,NA,2009 Session,2009,TRUE
"Cowan, Jean",NA,10,Democrat,"Lincoln and portions of Lane, Polk, Tillamook and Yamhill",Female,3,Retired,NA,2009 Session,2009,TRUE
"Dembrow, Michael",NA,45,Democrat,Portion of Multnomah,Male,28,Education and Training,NA,2009 Session,2009,TRUE
"Edwards, Chris",NA,14,Democrat,Portion of Lane,Male,37,Government and Public Administration,"Chris Edwards resigned on September 1, 2009. Val Hoyle was appointed​ on September 29, 2009 to fill the vacancy.",2009 Session,2009,TRUE
"Edwards, David",NA,30,Democrat,Portion of Washington,Male,30,Business Management and Administration,NA,2009 Session,2009,TRUE
"Esquivel, Sal",NA,6,Republican,Portion of Jackson,Male,47,"Marketing, Sales and Service",NA,2009 Session,2009,TRUE
"Freeman, Tim",NA,2,Republican,"Portions of Douglas, Jackson and Josephine",Male,32,Business Management and Administration,NA,2009 Session,2009,TRUE
"Galizio, Larry",NA,35,Democrat,Portions of Multnomah and Washington,Male,10,Education and Training,"Larry Galizio resigned on August 31, 2009. Margaret Doherty was ​appointed on September 29, 2009 to fill the vacancy.",2009 Session,2009,TRUE
"Garrard, Bill",NA,56,Republican,Portion of Klamath,Male,39,Government and Public Administration,NA,2009 Session,2009,TRUE
"Garrett, Chris",NA,38,Democrat,"Portions of Clackamas, Multnomah and Washington",Male,20,"Law, Public Safety, Corrections and Security",NA,2009 Session,2009,TRUE
"Gelser, Sara",NA,16,Democrat,Portion of Benton,Female,44,Government and Public Administration,NA,2009 Session,2009,TRUE
"Gilliam, Vic",NA,18,Republican,Portions of Clackamas and Marion,Male,18,Self-Employed,NA,2009 Session,2009,TRUE
"Gilman, George",NA,55,Republican,"Crook, Lake and portions of Deschues, Jackson and Klamath",Male,41,"Agriculture, Food and Natural Resources",NA,2009 Session,2009,TRUE
"Greenlick, Mitch",NA,33,Democrat,Portions of Multnomah and Washington,Male,4,Government and Public Administration,NA,2009 Session,2009,TRUE
"Hanna, Bruce",Minority Leader,7,Republican,Portions of Douglas and Lane,Male,50,Business Management and Administration,NA,2009 Session,2009,TRUE
"Harker, Chris",NA,34,Democrat,Portion of Washington,Male,25,Business Management and Administration,NA,2009 Session,2009,TRUE
"Holvey, Paul",NA,8,Democrat,Portion of Lane,Male,43,Architecture and Construction,NA,2009 Session,2009,TRUE
"Huffman, John",NA,59,Republican,Portions of Umatilla and Union,Male,8,Business Management and Administration,NA,2009 Session,2009,TRUE
"Hunt, Dave",Speaker,40,Democrat,Portion of Clackamas,Male,55,Business Management and Administration,NA,2009 Session,2009,TRUE
"Jenson, Bob",NA,58,Republican,Portions of Umatilla and Union,Male,56,Retired,NA,2009 Session,2009,TRUE
"Kahl, Nick",NA,49,Democrat,Portion of Multnomah,Male,21,"Law, Public Safety, Corrections and Security",NA,2009 Session,2009,TRUE
"Kennemer, Bill",NA,39,Republican,Portion of Clackamas,Male,22,Government and Public Administration,NA,2009 Session,2009,TRUE
"Komp, Betty",NA,22,Democrat,Portion of Marion,Female,48,Retired,NA,2009 Session,2009,TRUE
"Kotek, Tina",NA,44,Democrat,Portion of Multnomah,Female,52,Government and Public Administration,NA,2009 Session,2009,TRUE
"Krieger, Wayne",NA,1,Republican,Curry and portions of Coos and Douglas,Male,40,Government and Public Administration,NA,2009 Session,2009,TRUE
"Matthews, Greg",NA,50,Democrat,Portion of Multnomah,Male,11,"Law, Public Safety, Corrections and Security",NA,2009 Session,2009,TRUE
"Maurer, Ron",NA,3,Republican,Portion of Josephine,Male,49,Government and Public Administration,NA,2009 Session,2009,TRUE
"Nathanson, Nancy",NA,13,Democrat,Portion of Lane,Female,29,Government and Public Administration,NA,2009 Session,2009,TRUE
"Nolan, Mary",Majority Leader,36,Democrat,Portion of Multnomah,Female,51,Business Management and Administration,NA,2009 Session,2009,TRUE
"Olson, Andy",NA,15,Republican,Portions of Benton and Linn,Male,57,Government and Public Administration,NA,2009 Session,2009,TRUE
"Read, Tobias",NA,27,Democrat,Portions of Multnomah and Washington,Male,45,"Marketing, Sales and Service",NA,2009 Session,2009,TRUE
"Richardson, Dennis",NA,4,Republican,Portions of Jackson and Josephine,Male,7,"Law, Public Safety, Corrections and Security",NA,2009 Session,2009,TRUE
"Riley, Chuck",NA,29,Democrat,Portion of Washington,Male,5,Government and Public Administration,NA,2009 Session,2009,TRUE
"Roblan, Arnie",Speaker Pro Tempore,9,Democrat,"Portions of Coos, Douglas and Lane",Male,26,Retired,NA,2009 Session,2009,TRUE
"Schaufler, Mike",NA,48,Democrat,Portions of Clackamas and Multnomah,Male,36,Government and Public Administration,NA,2009 Session,2009,TRUE
"Shields, Chip",NA,43,Democrat,Portion of Multnomah,Male,6,Business Management and Administration,"Chip Shields resigned on September 28, 2009. Lew Frederick was appointed​ on October 30, 2009 to fill the vacancy.",2009 Session,2009,TRUE
"Smith, Greg",NA,57,Republican,Portions of Clackamas and Washington,Male,23,Business Management and Administration,NA,2009 Session,2009,TRUE
"Smith, Jefferson",NA,47,Democrat,Portion of Multnomah,Male,13,Government and Public Administration,NA,2009 Session,2009,TRUE
"Sprenger, Sherrie",NA,17,Republican,Portion of Linn and Marion,Female,24,Government and Public Administration,NA,2009 Session,2009,TRUE
"Stiegler, Judy",NA,54,Democrat,Portion of Deschutes,Female,12,"Law, Public Safety, Corrections and Security",NA,2009 Session,2009,TRUE
"Thatcher, Kim",NA,25,Republican,Portions of Marion and Yamhill,Female,15,Business Management and Administration,NA,2009 Session,2009,TRUE
"Thompson, Jim",NA,23,Republican,"Portions of Benton, Linn, Marion, Polk and Yamhill",Male,1,Health Science,NA,2009 Session,2009,TRUE
"Tomei, Carolyn",NA,41,Democrat,Portions of Clackamas and Multnomah,Female,58,Government and Public Administration,NA,2009 Session,2009,TRUE
"VanOrman, Suzanne",NA,52,Democrat,Hood River and portions of Clackamas and Multnomah,Female,9,Retired,NA,2009 Session,2009,TRUE
"Weidner, Jim",NA,24,Republican,Portions of Polk and Yamhill,Male,17,Business Management and Administration,NA,2009 Session,2009,TRUE
"Whisnant, Gene",NA,53,Republican,Portion of Deschutes,Male,34,Retired,NA,2009 Session,2009,TRUE
"Wingard, Matt",NA,26,Republican,Portions of Clackamas and Washington,Male,16,Government and Public Administration,NA,2009 Session,2009,TRUE
"Witt, Bradley",NA,31,Democrat,"Portions of Clatsop, Columbia and Multnomah",Male,54,Government and Public Administration,NA,2009 Session,2009,TRUE
"Barker, Jeff",NA,28,Democrat,"Aloha, Washington",Male,19,Retired,NA,2008 Special Session,2008,FALSE
"Barnhart, Phil",NA,11,Democrat,"Eugene, Lane, Linn",Male,52,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Bentz, Cliff",NA,60,Republican,"Baker, Harney, Malheur and portion of Grant",Male,42,"Law, Public Safety, Corrections and Security","Cliff Bentz was appointed on January 28, 2008 to fill the vacancy of Thomas R. Butler who resigned on January 4, 2008.",2008 Special Session,2008,FALSE
"Berger, Vicki",NA,20,Republican,"Salem, Marion, Polk",Female,14,Retired,NA,2008 Special Session,2008,FALSE
"Beyer, Elizabeth Terry",NA,12,Democrat,"Springfield, Lane",Female,59,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Bonamici, Suzanne",NA,34,Democrat,"Portland, Washington",Female,10,Human Services,"Suzanne Bonamici resigned on May 19, 2008. John Harker was appointed on June 18, 2008 to fill the vacancy.",2008 Special Session,2008,FALSE
"Boone, Deborah",NA,32,Democrat,"Cannon Beach, Clatsop, Columbia, Tillamook, Washington",Female,38,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Boquist, Brian",NA,23,Republican,"Dallas, Benton, Linn, Marion, Polk, Yamhill",Male,30,"Agriculture, Food and Natural Resources",NA,2008 Special Session,2008,FALSE
"Bruun, Scott",NA,37,Republican,"West Linn, Clackamas, Washington",Male,29,Finance,NA,2008 Special Session,2008,FALSE
"Buckley, Peter",NA,5,Democrat,"Ashland, Jackson",Male,46,"Arts, Audio/Video Technology and Communications",NA,2008 Special Session,2008,FALSE
"Burley, Chuck",NA,54,Republican,"Bend, Deschutes",Male,25,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Cameron, Kevin",NA,19,Republican,"Salem, Marion",Male,22,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Cannon, Ben",NA,46,Democrat,"Portland, Multnomah",Male,20,Education and Training,NA,2008 Special Session,2008,FALSE
"Clem, Brian L.",NA,21,Democrat,"Salem, Marion",Male,12,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Cowan, Jean",NA,10,Democrat,"Newport, Lincoln, Lane, Polk, Tillamook, Yamhill",Female,3,Retired,NA,2008 Special Session,2008,FALSE
"Dingfelder, Jackie",NA,45,Democrat,"Portland, Multnomah",Female,60,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Edwards, Chris",NA,14,Democrat,"Eugene, Lane",Male,11,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Edwards, David",NA,30,Democrat,"Hillsboro, Washington",Male,21,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Esquivel, Sal",NA,6,Republican,"Medford, Jackson",Male,17,"Marketing, Sales and Service",NA,2008 Special Session,2008,FALSE
"Flores, Linda",NA,51,Republican,"Clackamas, Multnomah",Female,15,Home Management,NA,2008 Special Session,2008,FALSE
"Galizio, Larry",NA,35,Democrat,"Tigard, Multnomah, Washington",Male,35,Education and Training,NA,2008 Special Session,2008,FALSE
"Garrard, Bill",NA,56,Republican,"Klamath Falls, Klamath",Male,39,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Gelser, Sara",NA,16,Democrat,"Corvallis, Benton",Female,44,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Gilliam, Vic",NA,18,Republican,"Salem, Clackamas, Marion",Male,18,Self-Employed,NA,2008 Special Session,2008,FALSE
"Gilman, George",NA,55,Republican,"Medford, Crook, Lake, Deschutes, Jackson, Klamath",Male,41,"Agriculture, Food and Natural Resources",NA,2008 Special Session,2008,FALSE
"Greenlick, Mitch",NA,33,Democrat,"Portland, Multnomah, Washington",Male,4,Education and Training,NA,2008 Special Session,2008,FALSE
"Hanna, Bruce",NA,7,Republican,"Roseburg, Douglas, Lane",Male,50,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Harker, John",NA,34,Democrat,"Portland, Multnomah, Washington",Male,10,Business Management and Administration,"John Harker was appointed on June 18, 2008 to fill the vacancy of Suzanne Bonamici who resigned on May 19, 2008.",2008 Special Session,2008,FALSE
"Holvey, Paul",NA,8,Democrat,"Eugene, Lane",Male,43,Architecture and Construction,NA,2008 Special Session,2008,FALSE
"Huffman, John",NA,59,Republican,"The Dalles, Deschutes, Gilliam, Grant, Jefferson, Marion, Sherman",Male,8,Business Management and Administration,"John Huffman was appointed on August 30, 2007 to fill the vacancy of John Dallum who resigned on July 31, 2007.",2008 Special Session,2008,FALSE
"Hunt, Dave",Majority Leader,40,Democrat,"Gladstone, Clackamas",Male,51,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Jenson, Bob",NA,58,Republican,"Pendleton, Umatilla, Union",Male,56,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Komp, Betty",NA,22,Democrat,"Woodburn, Marion",Female,2,Education and Training,NA,2008 Special Session,2008,FALSE
"Kotek, Tina",NA,44,Democrat,"Portland, Multnomah",Female,37,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Krieger, Wayne",NA,1,Republican,"Gold Beach, Curry, Coos, Douglas",Male,40,"Agriculture, Food and Natural Resources",NA,2008 Special Session,2008,FALSE
"Krummel, Jerry",NA,26,Republican,"Wilsonville, Clackamas, Washington",Male,31,Education and Training,NA,2008 Special Session,2008,FALSE
"Lim, John",NA,50,Republican,"Gresham, Multnomah",Male,26,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Macpherson, Greg",NA,38,Democrat,"Lake Oswego, Clackamas, Multnomah, Washington",Male,7,"Law, Public Safety, Corrections and Security",NA,2008 Special Session,2008,FALSE
"Maurer, Ron",NA,3,Republican,"Grants Pass, Josephine",Male,9,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Merkley, Jeff",Speaker,47,Democrat,"Portland, Multnomah",Male,55,Government and Public Administration,"Jeff Merkley resigned on January 2, 2009​.Jeff Merkley resigned as Speaker on January 2, 2009.",2008 Special Session,2008,FALSE
"Minnis, Karen",NA,49,Republican,"Salem, Multnomah",Female,49,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Morgan, Susan",NA,2,Republican,"Myrtle Creek, Douglas, Jackson and Josephine",Female,57,Government and Public Administration,"Susan Morgan resigned on January 4, 2009.",2008 Special Session,2008,FALSE
"Nathanson, Nancy",NA,13,Democrat,"Eugene, Lane",Female,28,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Nelson, Donna G.",NA,24,Republican,"McMinnville, Polk and Yamhill",Female,34,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Nolan, Mary",NA,36,Democrat,"Portland, Multnomah",Female,48,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Olson, Andy",NA,15,Republican,"Albany, Benton, Linn",Male,13,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Read, Tobias",NA,27,Democrat,"Beaverton, Multnomah, Washington",Male,45,"Marketing, Sales and Service",NA,2008 Special Session,2008,FALSE
"Richardson, Dennis",NA,4,Republican,"Central Point, Jackson, Josephine",Male,32,"Law, Public Safety, Corrections and Security",NA,2008 Special Session,2008,FALSE
"Riley, Chuck",NA,29,Democrat,"Hillsboro, Washington",Male,5,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Roblan, Arnie",NA,9,Democrat,"Coos Bay, Coos, Douglas, Lane",Male,53,Retired,NA,2008 Special Session,2008,FALSE
"Rosenbaum, Diane",Speaker Pro Tempore,42,Democrat,"Portland, Multnomah",Female,27,Government and Public Administration,Diane Rosenbaum became Speaker of the House in accordance with House Rule 7.05 (2).,2008 Special Session,2008,FALSE
"Schaufler, Mike",NA,48,Democrat,"Happy Valley, Clackamas, Multnomah",Male,36,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Scott, Wayne",NA,39,Republican,"Canby, Clackamas",Male,1,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Shields, Chip",NA,43,Democrat,"Portland, Multnomah",Male,6,Human Services,NA,2008 Special Session,2008,FALSE
"Smith, Greg",NA,57,Republican,"Heppner, Morrow, Wallowa, Umatilla, Union",Male,23,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Smith, Patti",NA,52,Republican,"Corbett, Hood River, Clackamas, Multnomah",Female,47,"Agriculture, Food and Natural Resources",NA,2008 Special Session,2008,FALSE
"Sprenger, Sherrie",NA,17,Republican,"Salem, Linn, Marion",Female,24,Government and Public Administration,"Sherrie Sprenger was appointed on February 4, 2008 to fill the vacancy of Fred Girod who resigned on January 29, 2008.",2008 Special Session,2008,FALSE
"Thatcher, Kim",NA,25,Republican,"Salem, Marion, Yamhill",Female,16,Business Management and Administration,NA,2008 Special Session,2008,FALSE
"Tomei, Carolyn",NA,41,Democrat,"Milwaukie, Clackamas, Multnomah",Female,58,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Whisnant, Gene",NA,53,Republican,"Sunriver, Deschutes",Male,33,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Witt, Bradley",NA,31,Democrat,"Salem, Clatsop, Columbia, Multnomah",Male,54,Government and Public Administration,NA,2008 Special Session,2008,FALSE
"Barker, Jeff",NA,28,Democrat,"Aloha, Washington",Male,19,Retired,NA,2007 Session,2007,TRUE
"Barnhart, Phil",NA,11,Democrat,"Eugene, Lane and Linn",Male,52,Government and Public Administration,NA,2007 Session,2007,TRUE
"Berger, Vicki",NA,20,Republican,"Salem, Marion and Polk",Female,14,Retired,NA,2007 Session,2007,TRUE
"Beyer, Elizabeth Terry",NA,12,Democrat,"Springfield, Lane",Female,59,Government and Public Administration,NA,2007 Session,2007,TRUE
"Bonamici, Suzanne",NA,34,Democrat,"Portland, Washington",Female,10,Human Services,NA,2007 Session,2007,TRUE
"Boone, Deborah",NA,32,Democrat,"Cannon Beach, Clatsop, Columbia, Tillamook and Washington",Female,38,Government and Public Administration,NA,2007 Session,2007,TRUE
"Boquist, Brian",NA,23,Republican,"Dallas, Benton, Linn, Marion, Polk and Yamhill",Male,30,"Agriculture, Food and Natural Resources",NA,2007 Session,2007,TRUE
"Bruun, Scott",NA,37,Republican,"West Linn, Clackamas and Washington",Male,29,Finance,NA,2007 Session,2007,TRUE
"Buckley, Peter",NA,5,Democrat,"Ashland, Jackson",Male,46,"Arts, Audio/Video Technology and Communications",NA,2007 Session,2007,TRUE
"Burley, Chuck",NA,54,Republican,"Bend, Deschutes",Male,25,Business Management and Administration,NA,2007 Session,2007,TRUE
"Butler, R. Thomas",NA,60,Republican,"Ontario, Baker, Harney, Malheur, Grant",Male,42,Finance,"Thomas R. Butler resigned on January 4, 2008. Cliff Bentz was appointed on January 28, 2008 to fill the vacancy.",2007 Session,2007,TRUE
"Cameron, Kevin",NA,19,Republican,"Salem, Marion",Male,22,Business Management and Administration,NA,2007 Session,2007,TRUE
"Cannon, Ben",NA,46,Democrat,"Portland, Multnomah",Male,20,Education and Training,NA,2007 Session,2007,TRUE
"Clem, Brian L.",NA,21,Democrat,"Salem, Marion",Male,12,Business Management and Administration,NA,2007 Session,2007,TRUE
"Cowan, Jean",NA,10,Democrat,"Newport, Lincoln, Lane, Polk, Tillamook, Yamhill",Female,3,Retired,NA,2007 Session,2007,TRUE
"Dallum, John",NA,59,Republican,"The Dalles, Gilliam, Jefferson, Sherman, Wasco, Wheeler, Clackamas, Deschutes, Grant, Marion",Male,8,Retired,"John Dallum resigned on July 31, 2007. John Huffman was appointed on August 30, 2007 to fill the vacancy.",2007 Session,2007,TRUE
"Dingfelder, Jackie",NA,45,Democrat,"Portland, Multnomah",Female,60,Government and Public Administration,NA,2007 Session,2007,TRUE
"Edwards, Chris",NA,14,Democrat,"Eugene, Lane",Male,11,Business Management and Administration,NA,2007 Session,2007,TRUE
"Edwards, David",NA,30,Democrat,"Hillsboro, Washington",Male,21,Business Management and Administration,NA,2007 Session,2007,TRUE
"Esquivel, Sal",NA,6,Republican,"Medford, Jackson",Male,17,"Marketing, Sales and Service",NA,2007 Session,2007,TRUE
"Flores, Linda",NA,51,Republican,"Clackamas, Clackamas, Multnomah",Female,15,Home Management,NA,2007 Session,2007,TRUE
"Galizio, Larry",NA,35,Democrat,"Tigard, Multnomah and Washington",Male,35,Education and Training,NA,2007 Session,2007,TRUE
"Garrard, Bill",NA,56,Republican,"Klamath Falls, Klamath",Male,39,Government and Public Administration,NA,2007 Session,2007,TRUE
"Gelser, Sara",NA,16,Democrat,"Corvallis, Benton",Female,44,Government and Public Administration,NA,2007 Session,2007,TRUE
"Gilliam, Vic",NA,18,Republican,"Salem, Clackamas, Marion",Male,18,Self-Employed,NA,2007 Session,2007,TRUE
"Gilman, George",NA,55,Republican,"Medford, Crook, Lake, Deschutes, Jackson, Klamath",Male,41,"Agriculture, Food and Natural Resources",NA,2007 Session,2007,TRUE
"Girod, Fred",NA,17,Republican,"Stayton, Linn, Marion",Male,24,Health Science,"Fred Girod resigned on January 29, 2008. Sherrie Sprenger was appointed on February 4, 2008 to fill the vacancy.",2007 Session,2007,TRUE
"Greenlick, Mitch",NA,33,Democrat,"Portland, Multnomah, Washington",Male,4,Education and Training,NA,2007 Session,2007,TRUE
"Hanna, Bruce",NA,7,Republican,"Roseburg, Douglas, Lane",Male,50,Business Management and Administration,NA,2007 Session,2007,TRUE
"Holvey, Paul",NA,8,Democrat,"Eugene, Lane",Male,43,Architecture and Construction,NA,2007 Session,2007,TRUE
"Hunt, Dave",Majority Leader,40,Democrat,"Gladstone, Clackamas",Male,51,Business Management and Administration,NA,2007 Session,2007,TRUE
"Jenson, Bob",NA,58,Republican,"Pendleton, Umatilla, Union",Male,56,Government and Public Administration,NA,2007 Session,2007,TRUE
"Komp, Betty",NA,22,Democrat,"Woodburn, Marion",Female,2,Education and Training,NA,2007 Session,2007,TRUE
"Kotek, Tina",NA,44,Democrat,"Portland, Multnomah",Female,37,Government and Public Administration,NA,2007 Session,2007,TRUE
"Krieger, Wayne",NA,1,Republican,"Gold Beach, Curry, Coos, Douglas",Male,40,"Agriculture, Food and Natural Resources",NA,2007 Session,2007,TRUE
"Krummel, Jerry",NA,26,Republican,"Wilsonville, Clackamas and Washington",Male,31,Education and Training,NA,2007 Session,2007,TRUE
"Lim, John",NA,50,Republican,"Gresham, Multnomah",Male,26,Business Management and Administration,NA,2007 Session,2007,TRUE
"Macpherson, Greg",NA,38,Democrat,"Lake Oswego, Clackamas, Multnomah and Washington",Male,7,"Law, Public Safety, Corrections and Security",NA,2007 Session,2007,TRUE
"Maurer, Ron",NA,3,Republican,"Grants Pass, Josephine",Male,9,Business Management and Administration,NA,2007 Session,2007,TRUE
"Merkley, Jeff",Speaker,47,Democrat,"Portland, Multnomah",Male,55,Government and Public Administration,NA,2007 Session,2007,TRUE
"Minnis, Karen",NA,49,Republican,"Salem, Multnomah",Female,49,Government and Public Administration,NA,2007 Session,2007,TRUE
"Morgan, Susan",NA,2,Republican,"Myrtle Creek, Douglas, Jackson, Josephine",Female,57,Government and Public Administration,NA,2007 Session,2007,TRUE
"Nathanson, Nancy",NA,13,Democrat,"Eugene, Lane",Female,28,Government and Public Administration,NA,2007 Session,2007,TRUE
"Nelson, Donna G.",NA,24,Republican,"McMinnville, Polk and Yamhill",Female,34,Government and Public Administration,NA,2007 Session,2007,TRUE
"Nolan, Mary",NA,36,Democrat,"Portland, Multnomah",Female,48,Business Management and Administration,NA,2007 Session,2007,TRUE
"Olson, Andy",NA,15,Republican,"Albany, Benton and Linn",Male,13,Government and Public Administration,NA,2007 Session,2007,TRUE
"Read, Tobias",NA,27,Democrat,"Beaverton, Multnomah and Washington",Male,45,"Marketing, Sales and Service",NA,2007 Session,2007,TRUE
"Richardson, Dennis",NA,4,Republican,"Central Point, Jackson and Josephine",Male,32,"Law, Public Safety, Corrections and Security",NA,2007 Session,2007,TRUE
"Riley, Chuck",NA,29,Democrat,"Hillsboro, Washington",Male,5,Business Management and Administration,NA,2007 Session,2007,TRUE
"Roblan, Arnie",NA,9,Democrat,"Coos Bay, Coos, Douglas, Lane",Male,53,Retired,NA,2007 Session,2007,TRUE
"Rosenbaum, Diane",Speaker Pro Tempore,42,Democrat,"Portland, Multnomah",Female,27,Government and Public Administration,NA,2007 Session,2007,TRUE
"Schaufler, Mike",NA,48,Democrat,"Happy Valley, Clackamas and Multnomah",Male,36,Government and Public Administration,NA,2007 Session,2007,TRUE
"Scott, Wayne",Republican Leader,39,Republican,"Canby, Clackamas",Male,1,Business Management and Administration,NA,2007 Session,2007,TRUE
"Shields, Chip",NA,43,Democrat,"Portland, Multnomah",Male,6,Human Services,NA,2007 Session,2007,TRUE
